250;0;0
251;0;0
252;0;0
253;0;0
254;0;0
255;0;0
256;0;0
257;0;0
258;0;0
259;0;0
260;0;0
261;0;0
262;0;0
263;0;0
264;0;0
265;1;0
266;0;0
267;0;0
268;0;0
269;1;0
270;0;0
271;0;0
272;0;0
273;1;0
274;0;0
275;0;0
276;1;0
277;0;0
278;0;0
279;1;0
280;0;0
281;0;1
282;0;0
283;0;0
284;1;0
285;0;0
286;0;1
287;0;0
288;0;0
289;1;0
290;0;0
291;1;0
292;0;0
293;1;0
294;0;0
295;1;0
296;0;0
297;0;0
298;0;1
299;0;0
300;0;1
301;0;0
302;1;0
303;0;0
304;1;0
305;0;1
306;0;0
307;1;0
308;0;1
309;0;0
310;1;0
311;0;1
312;0;0
313;0;0
314;1;0
315;0;1
316;0;1
317;0;0
318;1;0
319;1;0
320;0;1
321;0;1
322;0;0
323;1;0
324;1;0
325;0;1
326;0;1
327;0;1
328;0;0
329;1;0
330;1;0
331;1;0
332;0;1
333;0;1
334;0;1
335;0;1
336;0;1
337;0;1
338;0;1
339;0;1
340;0;1
341;0;1
342;1;0
343;1;0
344;1;0
345;1;0
346;1;0
347;1;0
348;1;0
349;1;0
350;0;1
351;0;1
352;0;1
353;0;1
354;0;1
355;1;0
356;1;0
357;1;0
358;0;1
359;0;1
360;1;0
361;1;1
362;0;1
363;1;0
364;1;0
365;0;1
366;1;0
367;1;0
368;0;1
369;1;0
370;1;1
371;0;1
372;1;0
373;0;1
374;1;0
375;1;1
376;1;0
377;1;1
378;1;0
379;1;1
380;1;0
381;1;1
382;1;0
383;1;0
384;0;1
385;1;1
386;0;1
387;1;1
388;1;0
389;1;1
390;1;1
391;0;1
392;1;1
393;1;0
394;1;1
395;1;1
396;0;1
397;1;1
398;1;1
399;0;1
400;1;1
401;1;1
402;1;0
403;1;1
404;1;1
405;1;1
406;1;0
407;1;1
408;1;1
409;1;1
410;1;1
411;1;1
412;1;0
413;0;1
414;1;1
415;1;1
416;1;1
417;1;1
418;1;1
419;1;1
420;1;1
421;1;1
422;1;1
423;1;1
424;1;1
425;1;1
426;1;1
427;1;1
428;1;1
429;1;1
430;2;1
431;1;1
432;1;1
433;1;1
434;1;1
435;1;1
436;2;1
437;0;1
438;1;1
439;1;1
440;1;1
441;1;1
442;1;1
443;1;1
444;1;1
445;1;1
446;1;1
447;1;1
448;1;2
449;1;1
450;2;1
451;1;1
452;1;1
453;1;2
454;1;1
455;1;1
456;1;2
457;1;1
458;1;1
459;1;2
460;1;2
461;1;1
462;1;1
463;2;1
464;2;1
465;1;2
466;1;1
467;2;1
468;2;1
469;1;2
470;1;1
471;2;1
472;2;1
473;1;2
474;1;2
475;1;2
476;1;1
477;1;1
478;2;1
479;2;1
480;2;1
481;2;1
482;2;1
483;2;1
484;2;1
485;2;1
486;2;1
487;2;1
488;2;1
489;2;1
490;1;1
491;1;2
492;1;2
493;1;2
494;2;1
495;2;1
496;2;2
497;1;2
498;1;2
499;2;1
